"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8425","get started link","chromium","Fri Oct 31 01:06:06 CST 2025","passed","Fri Oct 31 01:06:14 CST 2025","","example.spec.ts","",""
"","6339","has title","chromium","Fri Oct 31 01:06:06 CST 2025","passed","Fri Oct 31 01:06:12 CST 2025","","example.spec.ts","",""
"","13174","Mercado Libre","chromium","Fri Oct 31 01:06:06 CST 2025","passed","Fri Oct 31 01:06:19 CST 2025","","examenHitss.spec.ts","",""
"","10925","test","chromium","Fri Oct 31 01:06:06 CST 2025","passed","Fri Oct 31 01:06:17 CST 2025","","example.spec.ts","",""
